Category,logical_consistency_baseline,logical_consistency_fine_tuned,stepwise_correctness_baseline,stepwise_correctness_fine_tuned,hallucination_penalty_baseline,hallucination_penalty_fine_tuned,answer_correctness_baseline,answer_correctness_fine_tuned,overall_reward_baseline,overall_reward_fine_tuned
Mathematics,0.26,0.28,0.19,0.22,0.25,0.23,0.16,0.18,0.31,0.34
Physics,0.25,0.27,0.18,0.21,0.26,0.22,0.15,0.17,0.3,0.33
Computer Science,0.27,0.29,0.2,0.23,0.24,0.22,0.17,0.2,0.32,0.36
Chemistry,0.24,0.26,0.17,0.19,0.27,0.25,0.14,0.15,0.29,0.32
Applied Mathematics,0.27,0.29,0.2,0.23,0.24,0.21,0.17,0.2,0.32,0.36
Trivia,0.23,0.25,0.16,0.18,0.28,0.26,0.13,0.14,0.28,0.31
Other,0.26,0.28,0.19,0.22,0.25,0.23,0.16,0.18,0.31,0.34
